,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Feel Invincible,Skillet,0.603,0.886,5,-3.777,0,0.0837,0.00045,0,0.26,0.395,126.025,229933,4
1,Save Me,Skillet,0.556,0.888,1,-3.985,0,0.0377,0.000377,0,0.214,0.446,96.033,223241,4
2,Dominion,Skillet,0.407,0.99,11,-3.969,0,0.171,0.0306,0,0.0708,0.186,164.977,231492,4
3,Hail to the King,Avenged Sevenfold,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907,4
4,One Step Closer,Linkin Park,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,157333,4
5,Open Wounds,Skillet,0.573,0.922,0,-4.013,1,0.0695,0.0595,0,0.414,0.503,101.099,194773,4
6,Respect,Devour the Day,0.654,0.818,8,-6.12,1,0.0434,0.00012,7.45e-05,0.233,0.348,118.045,171262,4
7,Vapor,Skillet,0.394,0.982,5,-3.94,1,0.0839,9.5e-05,3.44e-06,0.0665,0.412,188.29,218707,4
8,Since U Been Gone,A Day To Remember,0.625,0.951,3,-5.209,1,0.0494,0.00497,0,0.106,0.721,128.01,198267,4
9,Energy,Skillet,0.441,0.958,7,-3.256,1,0.0757,0.000413,2.26e-05,0.103,0.354,92.974,236693,4
10,Agree to Disagree,Sleeping With Sirens,0.561,0.935,1,-3.807,1,0.0936,0.011,0,0.26,0.625,89.973,182680,4
11,Alien Youth,Skillet,0.344,0.944,0,-4.232,0,0.118,9.23e-05,1.04e-05,0.324,0.38,188.395,251493,4
12,Jesus Freak - Remastered 2013,DC Talk,0.599,0.837,5,-4.045,0,0.0394,0.00684,6.93e-05,0.104,0.561,104.457,289907,4
13,Good Man,Devour the Day,0.451,0.822,1,-5.788,0,0.0542,0.000399,0.000449,0.153,0.524,164.094,210965,4
14,Hero,Skillet,0.533,0.967,1,-2.543,1,0.0995,0.00791,0,0.336,0.782,142.018,186813,4
15,Breathe Into Me,Red,0.32,0.91,9,-5.321,1,0.114,0.000997,0,0.16,0.22,165.943,214373,4
16,Surviving The Game,Skillet,0.535,0.979,8,-3.593,1,0.0597,0.000666,0,0.084,0.432,103.996,238870,4
17,Afterlife,Avenged Sevenfold,0.487,0.949,2,-4.217,0,0.0798,0.000429,2.91e-05,0.231,0.406,110.02,352427,4
18,Rise Above It,I Prevail,0.561,0.786,1,-6.99,1,0.0298,0.00131,7.05e-05,0.26,0.0907,140.017,184520,4
19,Lightning In The Sky,Devour the Day,0.414,0.95,0,-3.303,0,0.112,6.42e-05,0.118,0.12,0.34,145.982,204280,4
20,White Horse,Skillet,0.652,0.809,6,-4.05,1,0.118,0.0267,0,0.694,0.652,129.957,216024,4
21,Locked in a Cage,Skillet,0.587,0.808,9,-9.768,0,0.0641,0.000318,9.7e-05,0.0619,0.343,100.043,235200,4
22,Scars,I Prevail,0.505,0.964,7,-3.673,1,0.0718,9.97e-05,2.85e-06,0.113,0.571,138.021,229773,4
23,Take It Out On Me,Thousand Foot Krutch,0.465,0.813,7,-4.321,1,0.0841,0.00281,0,0.0464,0.614,148.029,197373,4
24,Carry On,Avenged Sevenfold,0.469,0.983,2,-3.635,1,0.186,0.000158,4.63e-05,0.0566,0.119,135.094,255067,4
25,Standing in the Storm,Skillet,0.575,0.957,10,-3.534,1,0.0969,0.00699,0,0.511,0.309,128.015,257469,4
26,Rise Up,Skillet,0.32,0.947,2,-3.918,1,0.152,2.04e-05,0,0.31,0.471,134.099,238169,4
27,Gunslinger,Avenged Sevenfold,0.316,0.729,2,-5.931,0,0.0356,0.0203,8.99e-06,0.207,0.367,163.127,251533,4
28,Collide,Skillet,0.494,0.818,1,-6.025,0,0.0367,7.48e-05,0.129,0.0592,0.169,111.932,338440,4
29,Comatose,Skillet,0.359,0.955,4,-2.323,0,0.12,0.00116,0,0.349,0.446,170.033,230427,4
30,Sick of It,Skillet,0.629,0.933,8,-3.051,1,0.0693,0.00389,0,0.114,0.589,127.0,190360,4
31,Whispers in the Dark,Skillet,0.509,0.938,11,-3.883,0,0.0715,0.000644,0.00246,0.14,0.335,94.019,204347,4
32,Better Than Drugs,Skillet,0.394,0.878,2,-3.418,1,0.0696,0.000284,0,0.0583,0.592,176.173,237733,4
33,The Last Night,Skillet,0.358,0.856,2,-2.934,1,0.0471,0.0253,0,0.233,0.542,169.81,210787,4
34,Victorious,Skillet,0.217,0.763,10,-4.024,1,0.0426,0.00144,1.59e-05,0.238,0.342,86.7,245716,3
35,Forsaken,Skillet,0.351,0.944,5,-3.71,1,0.12,0.000249,0.00218,0.0678,0.428,187.736,252453,4
36,Legendary,Skillet,0.548,0.924,11,-4.48,0,0.0689,0.00033,1.42e-05,0.162,0.242,124.031,244538,4
37,My Obsession,Skillet,0.254,0.941,9,-4.022,1,0.17,5.22e-05,5.34e-06,0.131,0.251,95.252,300773,4
38,Cycle Down,Skillet,0.478,0.949,11,-3.383,1,0.0732,0.00055,0,0.204,0.223,104.937,238413,4
39,Back to Life,Skillet,0.443,0.9,11,-3.329,0,0.052,3.68e-05,0.617,0.11,0.476,160.006,276630,4
40,Savior,Skillet,0.508,0.92,5,-3.264,1,0.045,0.000589,2.71e-06,0.107,0.301,102.989,273627,4
41,The Resistance,Skillet,0.483,0.941,2,-3.598,0,0.0575,0.000526,3.5e-06,0.31,0.503,156.033,232067,4
42,I Want to Live,Skillet,0.452,0.962,11,-3.063,0,0.0831,0.00901,0,0.065,0.566,164.032,208827,4
43,Under My Skin,Skillet,0.39,0.884,10,-4.345,0,0.0739,0.000902,1.56e-06,0.111,0.346,158.062,245573,4
44,Awake and Alive,Skillet,0.434,0.939,4,-2.983,0,0.0593,0.0425,0,0.491,0.569,159.932,209493,4
45,Never Going Back,Skillet,0.479,0.864,5,-2.706,0,0.0366,3.25e-05,0.0215,0.0751,0.403,97.028,213831,4
46,Circus for a Psycho,Skillet,0.519,0.971,7,-3.403,1,0.0977,0.00424,6.26e-06,0.651,0.49,138.059,271933,4
47,Rippin' Me Off,Skillet,0.566,0.948,9,-6.034,1,0.108,0.000113,7.05e-05,0.0739,0.328,138.483,286333,4
48,Rebirthing,Skillet,0.373,0.939,1,-3.153,0,0.0603,0.00677,0,0.137,0.429,176.022,233293,4
49,Rise,Skillet,0.57,0.921,4,-3.892,0,0.0724,0.0127,0,0.818,0.381,87.938,260787,4
50,Not Gonna Die,Skillet,0.445,0.953,5,-2.463,0,0.0704,0.0106,0,0.281,0.475,172.063,225280,4
51,Terrify the Dark,Skillet,0.478,0.816,11,-4.288,1,0.0451,0.00165,0,0.356,0.264,75.959,225468,4
52,Stronger,Skillet,0.574,0.947,7,-6.358,1,0.14,0.000448,0.000373,0.0655,0.428,153.299,246840,4
53,Anchor,Skillet,0.22,0.754,8,-5.095,1,0.0594,0.0063,0,0.0865,0.358,160.126,216800,3
54,My Arms,LEDGER,0.49,0.695,0,-2.961,1,0.0382,0.612,0,0.0995,0.394,121.924,174124,4
55,"Kill Me, Heal Me",Skillet,0.609,0.892,0,-4.775,1,0.0812,0.000203,0,0.0526,0.462,123.828,215893,4
56,Fingernails,Skillet,0.528,0.941,1,-5.452,1,0.0827,0.00035,0,0.0777,0.292,112.991,306733,4
57,A Little More,Skillet,0.489,0.783,7,-5.64,0,0.0384,0.0425,2.98e-06,0.252,0.259,151.922,289667,4
